"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"100","1584_14","1584_14","1584_1",1584,"McKeon2013",2.53385,-61.27136667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",1,1
"101","1584_15","1584_15","1584_1",1584,"McKeon2013",2.53725,-61.19078333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",1,1
"102","1584_16","1584_16","1584_1",1584,"McKeon2013",2.156966667,-61.03831667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",3,1
"103","1584_17","1584_17","1584_1",1584,"McKeon2013",2.167416667,-61.05913333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"104","1584_19","1584_19","1584_1",1584,"McKeon2013",2.14305,-61.04183333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",3,1
"105","1584_2","1584_2","1584_1",1584,"McKeon2013",3.48785,-60.94215,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"106","1584_20","1584_20","1584_1",1584,"McKeon2013",2.150333333,-61.02166667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"107","1584_21","1584_21","1584_1",1584,"McKeon2013",2.155016667,-61.68333333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",3,1
"108","1584_22","1584_22","1584_1",1584,"McKeon2013",2.220333333,-61.00086667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"109","1584_23","1584_23","1584_1",1584,"McKeon2013",1.5595,-60.98766667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"110","1584_24","1584_24","1584_1",1584,"McKeon2013",1.671283333,-61.07613333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"111","1584_25","1584_25","1584_1",1584,"McKeon2013",2.2,-61.38333333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"112","1584_26","1584_26","1584_1",1584,"McKeon2013",1.0361,-60.38403333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"113","1584_27","1584_27","1584_1",1584,"McKeon2013",0.984633333,-60.40255,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"114","1584_28","1584_28","1584_1",1584,"McKeon2013",0.939733333,-60.42011667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"115","1584_29","1584_29","1584_1",1584,"McKeon2013",0.118583333,-60.55451667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"116","1584_3","1584_3","1584_1",1584,"McKeon2013",2.991416667,-61.25906667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"117","1584_30","1584_30","1584_1",1584,"McKeon2013",0.136433333,-60.55851667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",1,1
"118","1584_31","1584_31","1584_2",1584,"McKeon2013",-1.8371,-48.74978333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"119","1584_32","1584_32","1584_2",1584,"McKeon2013",-1.827266667,-48.75343333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",2,1
"120","1584_33","1584_33","1584_2",1584,"McKeon2013",-1.842683333,-48.7517,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",2,1
"121","1584_34","1584_34","1584_2",1584,"McKeon2013",-1.827116667,-48.75366667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",4,1
"122","1584_35","1584_35","1584_2",1584,"McKeon2013",-1.842683333,-48.7517,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",2,1
"123","1584_36","1584_36","1584_2",1584,"McKeon2013",-1.825816667,-48.757,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"124","1584_37","1584_37","1584_2",1584,"McKeon2013",-1.827216667,-48.75381667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",4,1
"125","1584_38","1584_38","1584_2",1584,"McKeon2013",-3.7566,-49.04788333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",1,1
"126","1584_39","1584_39","1584_2",1584,"McKeon2013",-3.986366667,-49.00453333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"127","1584_4","1584_4","1584_1",1584,"McKeon2013",2.991616667,-61.31673333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"128","1584_40","1584_40","1584_2",1584,"McKeon2013",-3.820083333,-49.08921667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"129","1584_41","1584_41","1584_2",1584,"McKeon2013",-3.754783333,-49.75763333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"130","1584_42","1584_42","1584_2",1584,"McKeon2013",-3.75335,-49.76245,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",1,1
"131","1584_43","1584_43","1584_2",1584,"McKeon2013",-3.785266667,-49.6725,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","Urban","intense","urban-substantial",1,1
"132","1584_44","1584_44","1584_2",1584,"McKeon2013",-3.742116667,-49.80496667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",4,1
"133","1584_45","1584_45","1584_2",1584,"McKeon2013",-3.741333333,-49.80143333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"134","1584_46","1584_46","1584_2",1584,"McKeon2013",-4.48005,-49.31695,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",2,1
"135","1584_47","1584_47","1584_2",1584,"McKeon2013",-4.4462,-49.17241667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"136","1584_48","1584_48","1584_2",1584,"McKeon2013",-4.451133333,-49.17131667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"137","1584_49","1584_49","1584_2",1584,"McKeon2013",-4.458733333,-49.17168333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",1,1
"138","1584_5","1584_5","1584_1",1584,"McKeon2013",3.020583333,-61.27021667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"139","1584_50","1584_50","1584_2",1584,"McKeon2013",-4.514883333,-49.09338333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",2,1
